k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.75	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium	1.0	1.0	1.0	1.0	1.0	20.0	26.75	31.0	37.0	49.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__	1.0	1.0	1.0	1.0	1.0	1.0	22.75	40.5	53.0	59.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	1.0	3.25	9.0	17.25	27.0	35.0	57.5	69.0	82.0	109.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0	1.0	1.0	21.0	81.0	1.0	1.0	1.0	15.25	58.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	1.0	1.0	1.0	1.0	1.0	11.0	14.75	21.5	33.5	53.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	1.0	1.0	7.5	15.5	20.0	1.0	11.5	16.5	41.0	110.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus	6.0	13.5	17.0	19.5	24.0	1.0	1.0	11.0	21.75	24.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	1.0	7.75	14.0	23.0	38.0	1.0	5.5	11.0	16.25	20.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	19.0	22.0	24.0	27.25	34.0	1.0	7.75	12.0	15.25	19.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	17.0	24.5	31.5	37.25	41.0	1.0	15.25	24.5	33.0	45.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium	1.0	1.0	11.5	25.5	36.0	1.0	1.0	1.0	6.0	21.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	1.0	7.75	11.0	14.0	20.0	1.0	1.0	10.0	28.75	58.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	1.0	1.0	1.0	1.0	1.0	1.0	16.75	22.0	24.5	32.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum	1.0	5.5	8.5	11.5	16.0	1.0	1.0	3.0	8.75	20.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia	1.0	1.0	4.0	10.25	20.0	1.0	1.0	1.0	7.25	26.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	1.0	1.0	1.0	1.0	1.0	1.0	10.75	15.0	16.5	18.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__WAL_1855D	1.0	1.0	1.0	2.5	7.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.75	8.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	1.0	1.0	1.0	8.5	31.0	1.0	12.25	17.0	23.25	39.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister	1.0	1.0	1.0	3.0	9.0	1.0	1.0	1.0	3.75	12.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	1.0	1.0	1.0	5.75	20.0	1.0	1.0	1.0	2.75	8.0
