class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	right_palm	right_palm	right_palm	right_palm	right_palm	right_palm	right_palm	right_palm	right_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	
#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93	Unnamed: 35
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0	0	0	0	0	0.0035605289928789	0.0102599179206566	0.0034832172260924	0.0053341700658926	0	0.0056377730796335	0.0193847450484618	0	0	0	0.0126926563916591	0	0.0051599587203302	0	0.0261390887290167	0.0005091649694501	0.0125205254515599	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0	0	0	0	0	0	0	0	0.0012716174974567	0.0041039671682626	0	0	0.0077059869590989	0	0	0.028613352898019	0	0.0016326530612244	0	0	0.002063983488132	0	0.0019184652278177	0.0099796334012219	0	0.0035922766052986	0.0027777777777777	0.0040962621607782	0.0075757575757575	0.0095200317334391	0.00390625	0.0067104303428154	0.0118729096989966	0.0113620020135193	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria|__	0	0	0	0	0	0	0	0	0.0228891149542217	0	0	0.0131785378098525	0.0003951788184153	0	0.0143278550358196	0	0	0.0146938775510204	0	0	0.0257997936016511	0	0.0074340527577937	0.0008146639511201	0.0050287356321839	0.0237988325101032	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.0032133676092544	0.0015356694122574	0.0094455348380765	0.0259862241703193	0.0247921390778533	0.020799816134222	0	0.0012796815014929	0.0005086469989827	0	0	0	0	0.0035236081747709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0.0096401028277634	0.0392293731676671	0.0246565260058881	0.0408578584846587	0.0294784580498866	0.0152838427947598	0.01271132579128	0.0129390018484288	0.0017802644964394	0	0	0	0	0.0014094432699083	0	0	0.0100334448160535	0	0	0	0	0.0416333066453162	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Moraxella	0	0	0	0	0	0	0	0	0.0027975584944048	0	0.0069664344521849	0.0335738939441481	0	0	0	0	0	0	0	0.0051975051975051	0.0392156862745098	0	0.0019184652278177	0	0.0032840722495894	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__	0.0042416452442159	0	0.0050294406280667	0.0018785222291797	0.001209372637944	0.0054010572282233	0.0086437015380704	0	0.0005086469989827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger	0	0	0.0127576054955839	0.0078271759549154	0.0071050642479213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0	0	0	0	0	0	0	0	0.0058494404883011	0.0027359781121751	0.0031665611146295	0.0059617194854094	0	0	0	0	0	0	0.0054397098821396	0	0	0	0.0020383693045563	0	0.0170361247947454	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	0	0	0	0	0	0	0	0	0.0053407934893184	0.0059279525763793	0.006333122229259	0.0153749607781612	0	0.0119802677942212	0.0029498525073746	0	0	0	0.0063463281958295	0.0103950103950103	0	0	0.0040767386091127	0	0.0144704433497536	0	0	0	0	0	0	0	0	0	
